Area Name,Region,State,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres
A LINCOLN BIRTHPL NHP,1,KY,344.50,0.00,0.00,344.50,0.00,0.00,0.00,344.50
ACADIA NP,1,ME,"37,479.58","10,707.90",21.77,"48,209.25",48.22,813.93,862.15,"49,071.40"
ADAMS NHP,1,MA,9.17,0.00,0.00,9.17,4.00,10.65,14.65,23.82
AFRICAN BURIAL GROUND NM,1,NY,0.35,0.00,0.00,0.35,0.00,0.00,0.00,0.35
AGATE FOSSIL BEDS NM,5,NE,"2,270.33",459.75,0.00,"2,730.08",24.43,303.36,327.79,"3,057.87"
ALAGNAK WILD RVR,11,AK,"26,417.85",0.00,0.00,"26,417.85","2,265.00","1,981.94","4,246.94","30,664.79"
ALIBATES FLINT QUARRIES N,6,TX,"1,079.23",0.00,0.00,"1,079.23",0.00,291.74,291.74,"1,370.97"
ALLEGHENY PRTGE RR NHS,1,PA,"1,255.02",0.00,0.00,"1,255.02",16.25,13.00,29.25,"1,284.27"
AMISTAD NRA,6,TX,"55,532.07","1,045.11",919.42,"57,496.60",401.49,"5,047.06","5,448.55","62,945.15"
ANDERSONVILLE NHS,2,GA,499.88,1.00,0.00,500.88,7.89,6.84,14.73,515.61
ANDREW JOHNSON NHS,2,TN,16.68,0.00,0.00,16.68,0.00,0.00,0.00,16.68
ANIAKCHAK N PRESERVE,11,AK,"458,809.35",0.00,0.00,"458,809.35","5,147.00",161.58,"5,308.58","464,117.93"
ANIAKCHAK NM,11,AK,"137,176.00",0.00,0.00,"137,176.00",0.00,0.00,0.00,"137,176.00"
ANTIETAM NB,1,MD,"1,995.94",786.03,0.00,"2,781.97",50.20,455.41,505.61,"3,287.58"
APOSTLE ISLANDS NL,3,WI,"42,160.70",0.00,0.00,"42,160.70","27,165.31",51.42,"27,216.73","69,377.43"
APPALACHIAN NS TRAIL,"1, 2",ME TO GA 4/,"109,915.47","12,630.04","60,620.82","183,166.33","48,960.40","11,326.45","60,286.85","243,453.18"
APPOMATTOX CRT HS NHP,1,VA,"1,700.30",0.00,0.00,"1,700.30",2.12,72.18,74.30,"1,774.60"
ARCHES NP,7,UT,"76,545.95",0.00,0.00,"76,545.95",133.03,0.00,133.03,"76,678.98"
ARKANSAS POST NMEM,4,AR,649.91,0.00,14.00,663.91,0.00,93.60,93.60,757.51
"ARL HOUSE, R E LEE MEM",1,VA,17.12,0.00,0.00,17.12,0.00,0.00,0.00,17.12
ASSATEAGUE ISLAND NS,1,MD-VA 2/,"8,983.42",102.16,"9,842.69","18,928.27","22,389.33",28.90,"22,418.23","41,346.50"
AZTEC RUINS NM,7,NM,266.78,0.00,0.00,266.78,6.78,44.84,51.62,318.40
BADLANDS NP,5,SD,"111,485.13","122,324.00",0.00,"233,809.13",39.24,"8,907.57","8,946.81","242,755.94"
BANDELIER NM,7,NM,"33,654.44",0.00,0.00,"33,654.44",0.00,22.23,22.23,"33,676.67"
BELMONT-PAUL WOMENS EQLTY NM,1,DC,0.34,0.00,0.00,0.34,0.00,0.00,0.00,0.34
BENT'S OLD FORT NHS,7,CO,735.60,0.00,0.00,735.60,7.40,55.54,62.94,798.54
BERING LAND BRIDGE N PRES,11,AK,"2,651,327.60",0.00,0.00,"2,651,327.60",0.00,"46,063.41","46,063.41","2,697,391.01"
BIG BEND NP,6,TX,"775,273.38",0.00,0.00,"775,273.38","2,606.87","23,282.96","25,889.83","801,163.21"
BIG CYPRESS ADDITION,2,FL 5/,"141,576.97",0.00,0.00,"141,576.97","3,541.14",992.58,"4,533.72","146,110.69"
BIG CYPRESS N PRESERVE,2,FL 5/,"535,805.19",0.00,0.00,"535,805.19","37,814.36",833.77,"38,648.13","574,453.32"
BIG HOLE NB,5,MT,655.61,0.00,0.00,655.61,0.00,320.00,320.00,975.61
BIG SOUTH FORK NR & RA,"1, 2",KY-TN,"115,387.55",34.45,0.00,"115,422.00","2,845.50","5,431.22","8,276.72","123,698.72"
BIG THICKET N PRESERVE,6,TX,"108,734.76",13.38,0.00,"108,748.14","3,465.11",908.71,"4,373.82","113,121.96"
BIGHORN CANYON NRA,"5, 7",MT-WY,"47,986.04",834.83,"19,670.00","68,490.87","1,392.29","50,413.06","51,805.35","120,296.22"
BIRMINGHAM CIVIL RIGHTS NM,2,AL,0.23,0.65,0.00,0.88,0.00,0.00,0.00,0.88
BISCAYNE NP,2,FL,"171,376.96",0.00,18.45,"171,395.41","1,215.85",359.85,"1,575.70","172,971.11"
BLACK CANYON OF THE GUNNISON NP,7,CO,"29,828.28",880.05,21.87,"30,730.20",16.36,33.27,49.63,"30,779.83"
BLACKSTONE RIVER VALLEY NHP,1,MA-RI,3.06,84.94,0.00,88.00,0.00,"1,401.00","1,401.00","1,489.00"
BLUE RIDGE PKWY,"1, 2",NC-VA,"86,314.30","2,775.57",125.00,"89,214.87",259.58,"11,627.77","11,887.35","101,102.22"
BLUESTONE NSR,1,WV,"3,032.00",0.00,0.00,"3,032.00","1,236.00",41.51,"1,277.51","4,309.51"
BOOKER T WASHINGTON NM,1,VA,239.01,0.00,0.00,239.01,0.00,0.00,0.00,239.01
BOSTON AFRI-AMER NHS,1,MA,0.00,0.00,0.00,0.00,0.06,0.53,0.59,0.59
BOSTON HARBOR ISLAND NRA,1,MA,0.06,240.51,14.61,255.18,"1,657.26",318.27,"1,975.53","2,230.71"
BOSTON NHP,1,MA,37.96,0.00,0.00,37.96,5.09,0.77,5.86,43.82
BRICES CROSS RDS NBS,4,MS,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
BROWN V. BD OF ED. NHP,5,KS-SC,1.85,0.00,0.00,1.85,0.00,0.00,0.00,1.85
BRYCE CANYON NP,7,UT,"35,832.58",0.00,0.00,"35,832.58",0.00,2.50,2.50,"35,835.08"
BUCK ISLAND REEF NM,2,VI,880.00,0.00,"18,135.47","19,015.47",0.00,0.00,0.00,"19,015.47"
BUFFALO N RVR,4,AR,"90,704.27","3,363.57",0.00,"94,067.84",107.11,118.13,225.24,"94,293.08"
C & O CANAL NHP,1,MD-DC-WV,"13,142.92","1,301.80",6.45,"14,451.17","3,387.01","1,789.92","5,176.93","19,628.10"
CABRILLO NM,8,CA,159.94,0.00,0.00,159.94,0.00,0.00,0.00,159.94
CAMP NELSON NM,1,KY,464.97,0.00,0.00,464.97,0.00,0.00,0.00,464.97
CANAVERAL NS,2,FL,"17,735.69",0.00,"39,912.00","57,647.69",0.00,14.00,14.00,"57,661.69"
CANE RIVER CREOLE NHP,4,LA,62.39,0.00,0.00,62.39,4.64,138.47,143.11,205.50
CANYON DE CHELLY NM,8,AZ,0.00,0.00,0.00,0.00,0.00,"83,840.00","83,840.00","83,840.00"
CANYONLANDS NP,7,UT,"337,269.40",301.03,0.00,"337,570.43",27.40,0.00,27.40,"337,597.83"
CAPE COD NS,1,MA,"27,114.34",403.64,31.86,"27,549.84","14,556.22","1,502.33","16,058.55","43,608.39"
CAPE HATTERAS NS,2,NC,"24,470.10",0.00,"5,880.00","30,350.10",0.00,0.55,0.55,"30,350.65"
CAPE KRUSENSTERN NM,11,AK,"617,675.09","10,033.51",0.00,"627,708.60",353.00,"21,034.55","21,387.55","649,096.15"
CAPE LOOKOUT NS,2,NC,"13,915.70","11,243.40",14.52,"25,173.62","3,048.16",21.58,"3,069.74","28,243.36"
CAPITOL REEF NP,7,UT,"241,223.33",0.00,0.00,"241,223.33",681.17,0.00,681.17,"241,904.50"
CAPULIN VOLCANO NM,7,NM,792.84,0.00,0.00,792.84,0.00,0.00,0.00,792.84
CARL SANDBURG HOME NHS,2,NC,268.36,0.00,0.00,268.36,0.00,0.13,0.13,268.49
CARLSBAD CAVERNS NP,7,NM,"46,427.26",0.00,0.00,"46,427.26",0.00,339.19,339.19,"46,766.45"
CARTER G. WOODSON NHS,1,DC,0.15,0.00,0.00,0.15,0.00,0.00,0.00,0.15
CASA GRANDE RUINS NM,8,AZ,472.50,0.00,0.00,472.50,0.00,0.00,0.00,472.50
CASTILLO DE SAN MARCOS NM,2,FL,19.31,0.00,0.00,19.31,0.06,0.01,0.07,19.38
CASTLE CLINTON NM,1,NY,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
CASTLE MOUNTAINS NM,8,CA,"20,902.00",0.00,0.00,"20,902.00",106.00,17.50,123.50,"21,025.50"
CATOCTIN MT PARK,1,MD,"5,885.28",4.51,0.00,"5,889.79",0.00,1.13,1.13,"5,890.92"
CEDAR BREAKS NM,7,UT,"6,154.60",0.00,0.00,"6,154.60",0.00,0.00,0.00,"6,154.60"
CEDAR CREEK/BELLE GROVE NHP,1,VA,134.95,0.00,0.00,134.95,21.09,"3,548.92","3,570.01","3,704.96"
CÉSAR E. CHÁVEZ NM,10,CA,1.90,8.60,0.00,10.50,0.00,106.06,106.06,116.56
CHACO CULTURE NHP,7,NM,"32,840.14",0.00,0.00,"32,840.14",0.00,"1,120.05","1,120.05","33,960.19"
CHAMIZAL NMEM,6,TX,54.90,0.00,0.00,54.90,0.00,0.00,0.00,54.90
CHANNEL ISLANDS NP,8,CA,"69,425.66",0.00,"9,592.96","79,018.62","124,554.15","45,988.23","170,542.38","249,561.00"
CHARLES PINCKNEY NHS,2,SC,28.45,0.00,0.00,28.45,0.00,0.00,0.00,28.45
CHARLES YOUNG BUFF SOLDRS NM,3,OH,59.66,0.00,0.00,59.66,0.00,0.00,0.00,59.66
CHATTAHOOCHEE RVR NRA,2,GA,"5,116.19",154.95,0.05,"5,271.19","4,094.62","3,050.94","7,145.56","12,416.75"
CHICK & CHATT NMP,2,GA-TN,"9,420.08",12.89,0.00,"9,432.97",27.86,62.65,90.51,"9,523.48"
CHICKASAW NRA,6,OK,"9,695.79",9.20,189.14,"9,894.13",4.50,0.00,4.50,"9,898.63"
CHIRICAHUA NM,8,AZ,"12,022.38",0.00,0.00,"12,022.38",0.00,2.35,2.35,"12,024.73"
CHRISTIANSTED NHS,2,VI,26.24,0.00,0.00,26.24,0.91,0.00,0.91,27.15
CITY OF ROCKS NRESERVE,9,ID,"10,122.78",5.08,0.00,"10,127.86",640.00,"3,744.41","4,384.41","14,512.27"
CLARA BARTON NHS,1,MD,8.59,0.00,0.00,8.59,0.00,0.00,0.00,8.59
COLONIAL NHP,1,VA,"8,048.71",556.47,0.00,"8,605.18",68.83,1.03,69.86,"8,675.04"
COLORADO NM,7,CO,"20,536.39",0.00,0.00,"20,536.39",0.00,0.00,0.00,"20,536.39"
CONGAREE NP,2,SC,"26,600.96",0.00,0.00,"26,600.96",0.00,91.64,91.64,"26,692.60"
CONSTITUTION GARDENS,1,DC,39.23,0.00,0.00,39.23,0.00,0.00,0.00,39.23
CORONADO NMEM,8,AZ,"4,828.22",0.00,0.00,"4,828.22",0.00,2.00,2.00,"4,830.22"
COWPENS NB,2,SC,790.90,0.00,0.00,790.90,46.63,4.03,50.66,841.56
CRATER LAKE NP,"9, 10",OR,"183,223.77",0.00,0.00,"183,223.77",0.00,0.28,0.28,"183,224.05"
CRATERS OF THE MOON NM,9,ID,"53,437.64",0.00,0.00,"53,437.64",0.00,0.00,0.00,"53,437.64"
CRATERS OF THE MOON NPRES,9,ID,"410,732.92",0.00,"273,488.22","684,221.14","8,156.91","6,561.64","14,718.55","698,939.69"
CUMBERLAND GAP NHP,"1, 2",KY-TN-VA,"24,344.95",185.61,0.00,"24,530.56",10.06,6.21,16.27,"24,546.83"
CUMBERLAND ISLAND NS,2,GA,"18,866.37",1.63,656.92,"19,524.92","13,820.15","3,001.76","16,821.91","36,346.83"
CURECANTI NRA,7,CO 1/,"1,122.30",0.00,"42,457.42","43,579.72",10.84,0.00,10.84,"43,590.56"
CUYAHOGA VALLEY NP,3,OH,"19,259.12","1,453.68",0.00,"20,712.80","8,456.72","3,402.37","11,859.09","32,571.89"
DAYTON AVIATION HR NHP,3,OH,0.69,0.00,84.41,85.10,20.20,5.26,25.46,110.56
DE SOTO NMEM,2,FL,24.78,0.00,0.00,24.78,0.00,5.22,5.22,30.00
DEATH VALLEY NP,"8, 10",CA-NV,"3,354,777.59",0.00,393.99,"3,355,171.58","44,270.68","8,953.37","53,224.05","3,408,395.63"
DEL WATER GAP NRA,1,NJ-PA,"58,362.63",54.20,0.00,"58,416.83","7,525.31","2,766.74","10,292.05","68,708.88"
DENALI N PRESERVE,11,AK,"1,304,241.97",0.00,0.00,"1,304,241.97",640.00,"29,235.83","29,875.83","1,334,117.80"
DENALI NP,11,AK,"4,732,657.96",2.00,0.00,"4,732,659.96","5,663.00","2,588.20","8,251.20","4,740,911.16"
DEVILS POSTPILE NM,10,CA,800.19,0.00,0.00,800.19,0.00,0.00,0.00,800.19
DEVILS TOWER NM,7,WY,"1,346.91",0.00,0.00,"1,346.91",0.00,0.30,0.30,"1,347.21"
DINOSAUR NM,7,CO-UT,"203,257.93","2,667.58",0.00,"205,925.51",50.96,"4,305.45","4,356.41","210,281.92"
DRY TORTUGAS NP,2,FL,"61,481.22",0.00,0.00,"61,481.22","3,220.00",0.00,"3,220.00","64,701.22"
DWIGHT D. EISENHOWER MEM,1,DC,1.25,0.00,2.14,3.39,0.00,0.00,0.00,3.39
EBEY'S LANDING NH RES,9,WA,686.18,"2,088.65",0.00,"2,774.83",68.00,"16,490.68","16,558.68","19,333.51"
EDGAR ALLAN POE NHS,1,PA,0.52,0.00,0.00,0.52,0.00,0.00,0.00,0.52
EFFIGY MOUNDS NM,4,IA,"2,489.26",0.00,0.00,"2,489.26",37.13,0.00,37.13,"2,526.39"
EISENHOWER NHS,1,PA,687.37,3.09,0.00,690.46,0.00,0.00,0.00,690.46
EL MALPAIS NM,7,NM,"109,946.76",0.00,0.00,"109,946.76",435.61,"3,964.62","4,400.23","114,346.99"
EL MORRO NM,7,NM,"1,039.92",0.00,0.00,"1,039.92",0.00,238.80,238.80,"1,278.72"
ELEANOR ROOSEVELT NHS,1,NY,180.50,0.00,0.00,180.50,0.00,0.00,0.00,180.50
EUGENE O'NEILL NHS,10,CA,13.19,0.00,0.00,13.19,0.00,0.00,0.00,13.19
EVERGLADES EXPANSION,2,FL 6/,"108,377.19",20.16,1.92,"108,399.27",0.00,0.00,0.00,"108,399.27"
EVERGLADES NP,2,FL 6/,"1,400,253.48",0.00,0.00,"1,400,253.48",0.00,285.82,285.82,"1,400,539.30"
FDR MEMORIAL,1,DC,8.14,0.00,0.00,8.14,0.00,0.00,0.00,8.14
FEDERAL HALL NMEM,1,NY,0.45,0.00,0.00,0.45,0.00,0.00,0.00,0.45
FIRE ISLAND NS,1,NY,"3,090.67","3,151.51",0.00,"6,242.18","12,422.73",915.74,"13,338.47","19,580.65"
FIRST LADIES NHS,3,OH,0.46,0.00,0.00,0.46,0.00,0.00,0.00,0.46
FIRST STATE NHP,1,DE-PA,"1,359.31",5.54,0.00,"1,364.85",2.47,41.90,44.37,"1,409.22"
FLIGHT 93 NATIONAL MEMORIAL,1,PA,"1,584.70",0.00,0.00,"1,584.70",0.00,677.95,677.95,"2,262.65"
FLORISSANT FOSSIL BEDS NM,7,CO,"6,272.32",0.00,0.00,"6,272.32",5.77,0.00,5.77,"6,278.09"
FORD'S THEATRE NHS,1,DC,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.30
FOSSIL BUTTE NM,7,WY,"8,198.00",0.00,0.00,"8,198.00",0.00,0.00,0.00,"8,198.00"
FREDERICK DOUGLASS NHS,1,DC,8.57,0.00,0.00,8.57,0.00,0.00,0.00,8.57
FREDERICK LAW OLMSTED NHS,1,MA,7.06,0.15,0.00,7.21,0.00,0.00,0.00,7.21
FRED-SPOTS MEM NMP,1,VA,"7,481.86",85.69,0.00,"7,567.55",13.71,824.20,837.91,"8,405.46"
FREEDOM RIDERS NM,2,AL,6.02,0.00,0.00,6.02,0.00,0.00,0.00,6.02
FRIENDSHIP HILL NHS,1,PA,661.44,0.00,0.00,661.44,0.00,13.12,13.12,674.56
FT BOWIE NHS,8,AZ,999.45,0.00,0.00,999.45,0.00,0.00,0.00,999.45
FT CAROLINE NMEM,2,FL,137.26,0.00,0.00,137.26,0.00,1.13,1.13,138.39
FT DAVIS NHS,6,TX,523.00,0.00,0.00,523.00,0.00,0.00,0.00,523.00
FT DONELSON NB,"1, 2",TN-KY,"1,027.16",0.00,226.49,"1,253.65",17.14,48.46,65.60,"1,319.25"
FT FREDERICA NM,2,GA,301.87,2.18,0.00,304.05,0.00,1.29,1.29,305.34
FT LARAMIE NHS,7,WY,871.78,0.00,0.00,871.78,0.00,1.33,1.33,873.11
FT LARNED NHS,5,KS,410.46,269.20,0.00,679.66,38.73,0.00,38.73,718.39
FT MATANZAS NM,2,FL,298.51,0.00,0.00,298.51,0.00,1.60,1.60,300.11
FT MCHENRY NM & HSHRIN,1,MD,43.26,0.00,0.00,43.26,0.00,0.00,0.00,43.26
FT MONROE NM,1,VA,121.11,64.54,141.47,327.12,40.00,0.00,40.00,367.12
FT NECESSITY NB,1,PA,894.47,0.00,0.00,894.47,8.33,0.00,8.33,902.80
FT POINT NHS,10,CA,29.00,0.00,0.00,29.00,0.00,0.00,0.00,29.00
FT PULASKI NM,2,GA,"5,365.13",0.00,0.00,"5,365.13",257.97,0.00,257.97,"5,623.10"
FT RALEIGH NHS,2,NC,355.45,0.00,0.00,355.45,18.57,141.71,160.28,515.73
FT SCOTT NHS,5,KS,16.77,0.00,0.00,16.77,0.24,3.10,3.34,20.11
FT SMITH NHS,"4, 6",AR-OK,31.75,0.41,5.80,37.96,1.44,35.60,37.04,75.00
FT STANWIX NM,1,NY,15.52,0.00,0.00,15.52,0.00,0.00,0.00,15.52
FT SUMTER & FT MOULTRIE NHP,2,SC,164.60,58.84,4.97,228.41,4.11,0.00,4.11,232.52
FT UNION NM,7,NM,720.60,0.00,0.00,720.60,0.00,0.00,0.00,720.60
FT UNION TRADING POST NHS,5,ND-MT,246.80,123.43,0.00,370.23,67.29,2.62,69.91,440.14
FT VANCOUVER NHS,9,WA-OR,164.70,0.63,32.08,197.41,9.31,0.00,9.31,206.72
FT WASHINGTON PARK,1,MD,345.05,0.00,0.00,345.05,0.00,0.00,0.00,345.05
G W BIRTHPLACE NM,1,VA,551.24,0.00,0.00,551.24,0.00,102.95,102.95,654.19
G W MEMORIAL PKWY,1,MD-VA,"6,065.75",525.18,-0.23,"6,590.70",110.08,72.85,182.93,"6,773.63"
GATES OF ARCTIC N PRES,11,AK,"948,203.00",0.00,0.00,"948,203.00",0.00,405.07,405.07,"948,608.07"
gates of the arctic np & pres,11,AK,"7,276,030.20","83,780.00",0.00,"7,359,810.20","1,292.00","162,795.25","164,087.25","7,523,897.45"
GATEWAY ARCH NP,"3, 4",MO-IL,85.46,5.50,0.00,90.96,16.64,85.23,101.87,192.83
GATEWAY NRA,1,NJ-NY,"20,164.79",1.63,279.24,"20,445.66","5,558.78",602.19,"6,160.97","26,606.63"
GAULEY RIVER NRA,1,WV,"5,138.27",0.49,43.36,"5,182.12",989.83,"5,311.49","6,301.32","11,483.44"
GENERAL GRANT NMEM,1,NY,0.76,0.00,0.00,0.76,0.00,0.00,0.00,0.76
GEORGE R CLARK NHP,3,IN,25.30,0.00,0.00,25.30,0.87,0.00,0.87,26.17
GEORGE WASH. CARVER NM,4,MO,240.00,0.00,0.00,240.00,0.00,0.00,0.00,240.00
GETTYSBURG NMP,1,PA,"4,609.73",590.81,0.01,"5,200.55",2.59,828.93,831.52,"6,032.07"
GILA CLIFF DWELNGS NM,7,NM,533.13,0.00,0.00,533.13,0.00,0.00,0.00,533.13
GLACIER BAY NP & PRES,11,AK,"58,406.00",0.00,0.00,"58,406.00",0.00,0.00,0.00,"58,406.00"
GLACIER BAY NP,11,AK,"3,222,434.78",0.00,0.00,"3,222,434.78",0.00,948.65,948.65,"3,223,383.43"
GLACIER NP,"5, 9",MT,"1,012,843.03",54.65,0.00,"1,012,897.68",2.51,226.20,228.71,"1,013,126.39"
GLEN CANYON NRA,"7, 8",AZ-UT,"1,238,621.99",0.00,"1,141.85","1,239,763.84","14,352.78",0.00,"14,352.78","1,254,116.62"
GOLDEN GATE NRA,10,CA,"34,742.93","22,246.20",325.10,"57,314.23","22,285.73","2,516.07","24,801.80","82,116.03"
GOLDEN SPIKE NHP,7,UT,"2,203.20",0.00,0.00,"2,203.20",0.00,532.08,532.08,"2,735.28"
GOVERNORS ISLAND NM,1,NY,22.40,0.01,0.00,22.41,0.00,0.50,0.50,22.91
GRAND CANYON NP,8,AZ,"1,180,650.85",0.00,0.00,"1,180,650.85","11,860.00","9,136.18","20,996.18","1,201,647.03"
GRAND PORTAGE NM,3,MN,709.97,0.00,0.00,709.97,0.00,0.00,0.00,709.97
GRAND TETON NP,7,WY,"273,549.62",165.59,"34,984.62","308,699.83",496.60,847.93,"1,344.53","310,044.36"
GRANT-KOHRS RANCH NHS,9,MT,"1,325.83",165.63,0.00,"1,491.46",69.47,57.50,126.97,"1,618.43"
GREAT BASIN NP,10,NV,"77,180.00",0.00,0.00,"77,180.00",0.00,0.00,0.00,"77,180.00"
GREAT EGG HARBOR N. RIVER,1,NJ,0.00,0.00,0.00,0.00,"43,311.42",0.00,"43,311.42","43,311.42"
GREAT SAND DUNES NP & PRES,7,CO,"41,686.00",0.00,0.00,"41,686.00",0.00,0.00,0.00,"41,686.00"
GREAT SAND DUNES NP,7,CO,"104,050.10",0.00,0.00,"104,050.10",40.00,"3,255.63","3,295.63","107,345.73"
GREAT SMOKY MOUNTAINS NP,2,TN-NC,"521,984.15",92.58,0.00,"522,076.73",0.00,350.15,350.15,"522,426.88"
GREENBELT PARK,1,MD,"1,105.79",0.00,0.00,"1,105.79",58.30,11.90,70.20,"1,175.99"
GUADALUPE MOUNTAINS NP,"6, 7",TX,"86,367.10",0.00,0.00,"86,367.10",0.00,0.00,0.00,"86,367.10"
GUILFORD COURTHS NMP,2,NC,254.44,0.00,0.00,254.44,0.00,0.00,0.00,254.44
GULF ISLANDS NS,"2, 4",FL-MS,"95,223.93",2.09,"4,553.25","99,779.27","37,807.56",718.69,"38,526.25","138,305.52"
HAGERMAN FOSSIL BEDS,9,ID,"4,334.65",0.00,0.00,"4,334.65",0.00,16.50,16.50,"4,351.15"
HALEAKALA NP,12,HI,"33,480.65",0.00,0.00,"33,480.65",0.15,0.00,0.15,"33,480.80"
HAMILTON GRANGE NMEM,1,NY,0.11,0.93,0.00,1.04,0.00,0.71,0.71,1.75
HAMPTON NHS,1,MD,62.04,0.00,0.00,62.04,0.00,0.00,0.00,62.04
HARPERS FERRY NHP,1,MD-VA-WV,"3,435.20",54.31,71.51,"3,561.02",59.10,49.07,108.17,"3,669.19"
HARRIET TUBMAN NHP,1,NY,0.50,0.00,0.00,0.50,0.00,31.00,31.00,31.50
HARRIET TUBMAN UNDRGR RR NHP,1,MD,480.00,0.00,0.00,480.00,0.00,0.00,0.00,480.00
HARRY S TRUMAN NHS,4,MO,13.67,0.00,0.00,13.67,0.00,0.00,0.00,13.67
HAWAII VOLCANOES NP,12,HI,"344,812.18",0.00,0.00,"344,812.18",0.00,0.00,0.00,"344,812.18"
HERBERT HOOVER NHS,4,IA,181.11,0.00,0.00,181.11,4.59,1.10,5.69,186.80
HOHOKAM PIMA NM,8,AZ,0.00,0.00,0.00,0.00,0.00,"1,690.00","1,690.00","1,690.00"
HOME OF F D R NHS,1,NY,790.45,46.98,1.00,838.43,0.00,0.00,0.00,838.43
HOMESTEAD NHP,5,NE,180.47,24.07,0.00,204.54,5.91,0.00,5.91,210.45
HONOULIULI NHS,12,HI,123.02,0.00,0.00,123.02,0.00,31.44,31.44,154.46
HOPEWELL CULTURE NHP,3,OH,"1,138.30",8.05,0.00,"1,146.35",0.00,629.43,629.43,"1,775.78"
HOPEWELL FURNACE NHS,1,PA,848.06,0.00,0.00,848.06,0.00,0.00,0.00,848.06
HORSESHOE BEND NMP,2,AL,"2,040.00",0.00,0.00,"2,040.00",0.00,0.00,0.00,"2,040.00"
HOT SPRINGS NP,4,AR,"5,005.21",20.89,0.00,"5,026.10",315.17,212.88,528.05,"5,554.15"
HOVENWEEP NM,7,CO-UT,784.93,0.00,0.00,784.93,0.00,0.00,0.00,784.93
HUBBELL T P NHS,8,AZ,160.09,0.00,0.00,160.09,0.00,0.00,0.00,160.09
INDEPENDENCE NHP,1,PA,33.27,1.47,0.02,34.76,4.95,5.16,10.11,44.87
INDIANA DUNES NP,3,IN,"10,570.06",538.31,0.00,"11,108.37","3,412.17",828.54,"4,240.71","15,349.08"
ISLE ROYALE NP,3,MI,"539,281.91",0.00,0.00,"539,281.91","32,508.39",0.00,"32,508.39","571,790.30"
