Area Name,Region,State,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres
J F KENNEDY NHS,1,MA,0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.09
JAMES A GARFIELD NHS,3,OH,7.82,0.00,0.00,7.82,0.00,0.00,0.00,7.82
JDROCKEFELLER MEM PKWY,7,WY,"23,777.22",0.00,0.00,"23,777.22",0.00,0.00,0.00,"23,777.22"
JEAN LAFITTE NHP &PRES,4,LA,"21,080.30",0.40,0.00,"21,080.70","2,354.12","2,441.04","4,795.16","25,875.86"
JEWEL CAVE NM,5,SD,"1,273.51",0.00,0.00,"1,273.51",0.00,0.00,0.00,"1,273.51"
JIMMY CARTER NHP,2,GA,36.81,8.81,1.92,47.54,0.01,30.80,30.81,78.35
JOHN DAY FOS BEDS NM,9,OR,"7,082.05","1,403.05","4,971.06","13,456.16",134.54,471.49,606.03,"14,062.19"
JOHN MUIR NHS,10,CA,338.30,0.00,0.00,338.30,3.90,1.94,5.84,344.14
JOHNSTOWN FLOOD NMEM,1,PA,167.77,1.24,0.00,169.01,5.55,3.20,8.75,177.76
JOSHUA TREE NP,8,CA,"781,908.85",0.00,0.00,"781,908.85","2,572.74","10,674.26","13,247.00","795,155.85"
KALAUPAPA NHP,12,HI,22.88,0.00,0.00,22.88,"10,684.00",72.00,"10,756.00","10,778.88"
KALOKO-HONOKOHAU NHP,12,HI,615.90,0.00,0.00,615.90,518.83,28.32,547.15,"1,163.05"
KATAHDIN WOODS AND WATERS NM,1,ME,"87,564.27",0.00,0.00,"87,564.27",0.00,0.00,0.00,"87,564.27"
KATMAI N PRESERVE,11,AK,"333,400.98",0.00,0.00,"333,400.98","76,881.00","8,416.82","85,297.82","418,698.80"
KATMAI NP & PRES,11,AK,"3,611,536.50",20.43,7.50,"3,611,564.43","50,172.00","12,792.90","62,964.90","3,674,529.33"
KENAI FJORDS NP,11,AK,"603,129.86",0.00,0.00,"603,129.86","19,302.00","47,218.19","66,520.19","669,650.05"
KENNESAW MT NBP,2,GA,"2,897.53",0.00,0.00,"2,897.53",16.10,0.00,16.10,"2,913.63"
KEWEENAW NHP,3,MI,135.78,0.00,0.00,135.78,0.00,"1,734.22","1,734.22","1,870.00"
KINGS CANYON NP,10,CA,"461,846.05",0.00,0.00,"461,846.05",0.00,55.15,55.15,"461,901.20"
KINGS MT NMP,2,SC,"3,945.29",0.00,0.00,"3,945.29",0.00,0.00,0.00,"3,945.29"
KLONDIKE GOLD RUSH NHP,"9, 11",AK-WA,"3,499.97",0.00,0.00,"3,499.97","9,199.38",297.14,"9,496.52","12,996.49"
KNIFE RIVER INDIAN VIL NH,5,ND,"1,473.05",122.80,0.00,"1,595.85",0.00,155.15,155.15,"1,751.00"
KOBUK VALLEY NP,11,AK,"1,714,573.41",5.00,0.00,"1,714,578.41",966.00,"35,171.75","36,137.75","1,750,716.16"
KOREAN WAR VETERANS MEM,1,DC,1.56,0.00,0.00,1.56,0.00,0.00,0.00,1.56
LAKE CHELAN NRA,9,WA,"59,340.13",11.83,0.00,"59,351.96","2,210.44",376.72,"2,587.16","61,939.12"
LAKE CLARK NP & PRES,11,AK,"1,250,062.32","9,251.98",0.00,"1,259,314.30","58,224.63","92,754.75","150,979.38","1,410,293.68"
LAKE CLARK NP,11,AK,"2,481,440.51",0.00,0.00,"2,481,440.51","37,426.00","100,949.98","138,375.98","2,619,816.49"
LAKE MEAD NRA,8,AZ-NV,"1,392,731.19",41.31,"78,230.76","1,471,003.26","2,444.75","22,367.52","24,812.27","1,495,815.53"
LAKE MEREDITH NRA,6,TX,"43,964.51",0.00,"1,013.00","44,977.51",0.00,0.12,0.12,"44,977.63"
LAKE ROOSEVELT NRA,9,WA 1/,331.31,0.00,"100,059.00","100,390.31",0.00,0.00,0.00,"100,390.31"
LASSEN VOLCANIC NP,10,CA,"106,505.38",0.00,0.00,"106,505.38",0.00,83.64,83.64,"106,589.02"
LAVA BEDS NM,10,CA,"46,692.42",0.00,0.00,"46,692.42",0.00,0.00,0.00,"46,692.42"
LBJ MEM GROVE ON THE POTOMAC,1,DC,17.00,0.00,0.00,17.00,0.00,0.00,0.00,17.00
LEWIS AND CLARK NHP,9,OR-WA,"2,745.62",0.00,0.00,"2,745.62",257.10,407.43,664.53,"3,410.15"
LINCOLN BOYHOOD NMEM,3,IN,185.68,0.00,0.00,185.68,6.38,7.90,14.28,199.96
LINCOLN HOME NHS,3,IL,12.03,0.00,0.00,12.03,0.00,0.21,0.21,12.24
LINCOLN MEMORIAL,1,DC,7.29,0.00,0.00,7.29,0.00,0.00,0.00,7.29
LITTLE BIGHORN BATTLEFLD,5,MT,765.34,0.00,0.00,765.34,0.00,0.00,0.00,765.34
LITTLE RIVER CANYON,2,AL,"11,157.12",0.00,13.33,"11,170.45","3,287.87",833.31,"4,121.18","15,291.63"
LITTLE ROCK CENTRAL HS NH,4,AR,2.22,0.00,0.00,2.22,25.14,0.86,26.00,28.22
LONGFELLOW HOUSE-WASH HQ NHS,1,MA,1.98,0.00,0.00,1.98,0.00,0.00,0.00,1.98
LOWELL NHP,1,MA,8.61,22.02,0.00,30.63,8.07,104.67,112.74,143.37
LOWER ST CROIX NSR,3,MN-WI,"4,942.25","3,489.43",0.00,"8,431.68","4,470.98","12,373.79","16,844.77","25,276.45"
LYNDON B JOHNSON NHP,6,TX,672.28,2.05,0.00,674.33,2.42,894.96,897.38,"1,571.71"
M MCLEOD BETHUNE HOUSE NHS,1,DC,0.07,0.00,0.00,0.07,0.00,0.00,0.00,0.07
MAGGIE L WALKER NHS,1,VA,0.36,0.00,0.00,0.36,0.00,0.93,0.93,1.29
MAMMOTH CAVE NP,1,KY,"52,007.62",0.00,0.00,"52,007.62",814.75,"1,193.92","2,008.67","54,016.29"
MANASSAS NBP,1,VA,"4,403.98",22.33,0.00,"4,426.31",0.00,647.13,647.13,"5,073.44"
MANHATTAN PROJECT NHP,"2, 7, 9",NM-TN-WA,0.00,0.00,113.61,113.61,0.00,0.00,0.00,113.61
MANZANAR NHS,10,CA,813.81,0.00,0.00,813.81,0.00,0.00,0.00,813.81
MARSH-BILLINGS-ROCKEFELLER N,1,VT,555.07,0.00,0.00,555.07,0.00,88.00,88.00,643.07
"MARTIN L KING, JR, MEMORIAL",1,DC,2.74,0.00,0.00,2.74,0.00,0.00,0.00,2.74
"MARTIN L KING, JR, NHP",2,GA,14.07,0.00,0.00,14.07,10.22,14.88,25.10,39.17
MARTIN VAN BUREN NHS,1,NY,44.53,7.64,0.00,52.17,0.24,232.52,232.76,284.93
MEDGAR-MYRLIE EVERS HOME NM,4,MS,0.74,0.00,0.00,0.74,0.00,0.00,0.00,0.74
MESA VERDE NP,7,CO,"52,251.86",0.00,0.12,"52,251.98",41.01,192.18,233.19,"52,485.17"
MIDDLE DELAWARE NSR,1,NJ-PA,0.00,0.00,0.00,0.00,"1,973.33",0.00,"1,973.33","1,973.33"
MILL SPRINGS BATTLEFIELD NM,1,KY,33.46,0.00,0.00,33.46,0.00,"1,424.13","1,424.13","1,457.59"
MINIDOKA NHS,9,ID-WA,299.79,88.51,0.00,388.30,8.00,0.00,8.00,396.30
MINUTE MAN NHP,1,MA,787.69,7.47,6.78,801.94,125.53,100.29,225.82,"1,027.76"
MINUTEMAN MISSILE NHS,5,SD,39.22,0.93,0.00,40.15,0.00,3.65,3.65,43.80
MISSISSIPPI N RVR & RA,3,MN,91.74,0.00,0.00,91.74,0.00,"53,683.26","53,683.26","53,775.00"
MISSOURI N REC RIVER,5,SD-NE,871.32,1.10,0.00,872.42,0.00,"47,584.13","47,584.13","48,456.55"
MOJAVE NATIONAL PRESERVE,8,CA,"1,487,034.58",0.00,0.00,"1,487,034.58","43,555.02","19,119.77","62,674.79","1,549,709.37"
MONOCACY NB,1,MD,"1,357.44",195.37,0.00,"1,552.81",51.82,42.25,94.07,"1,646.88"
MONTEZUMA CASTLE NM,8,AZ,998.69,0.00,0.00,998.69,0.00,16.83,16.83,"1,015.52"
MOORES CREEK NB,2,NC,85.35,2.40,0.00,87.75,0.00,0.00,0.00,87.75
MORRISTOWN NHP,1,NJ,"1,704.74",0.95,0.00,"1,705.69",0.00,5.03,5.03,"1,710.72"
MOUNT RAINIER NP,9,WA,"236,334.67",0.00,0.00,"236,334.67",20.70,26.27,46.97,"236,381.64"
MT RUSHMORE NMEM,5,SD,"1,238.45",1.07,0.00,"1,239.52",38.93,0.00,38.93,"1,278.45"
MUIR WOODS NM,10,CA,522.98,0.00,0.00,522.98,30.57,0.00,30.57,553.55
NATCHEZ NHP,4,MS,97.43,0.00,0.00,97.43,5.02,17.30,22.32,119.75
NATCHEZ TRACE NS TRAIL,"2, 4",TN-MS-AL,0.00,0.00,0.00,0.00,0.00,"10,995.00","10,995.00","10,995.00"
NATCHEZ TRACE PKWY,"2, 4",TN-MS-AL,"46,320.02","5,887.28",0.00,"52,207.30",113.00,60.16,173.16,"52,380.46"
NATIONAL CAPITAL PARKS,1,DC-MD,"8,456.81",76.45,0.00,"8,533.26",132.67,38.23,170.90,"8,704.16"
NATIONAL MALL,1,DC,150.44,5.40,0.00,155.84,0.00,0.00,0.00,155.84
NATIONAL WWII MEMORIAL,1,DC,8.25,0.00,0.00,8.25,0.00,0.00,0.00,8.25
NATURAL BRIDGES NM,7,UT,"7,620.49",16.00,0.00,"7,636.49",0.00,0.00,0.00,"7,636.49"
NAVAJO NM,8,AZ,360.00,0.00,0.00,360.00,0.00,0.00,0.00,360.00
NEW BEDFORD WHALING,1,MA,0.34,0.00,0.00,0.34,0.00,33.66,33.66,34.00
NEW ORLEANS JAZZ NHP,4,LA,0.00,0.00,0.00,0.00,5.13,0.00,5.13,5.13
NEW RIVER GORGE NP & PRES,1,WV,"53,900.91",164.21,0.00,"54,065.12","4,607.99","13,717.80","18,325.79","72,390.91"
NEZ PERCE NHP,"5, 9",MT-ID-OR-WA,"1,972.61","1,885.33",5.12,"3,863.06",261.20,440.67,701.87,"4,564.93"
NICODEMUS NHS,5,KS,0.22,1.42,0.00,1.64,0.00,2.95,2.95,4.59
NINETY SIX NHS,2,SC,"1,021.94",0.00,0.00,"1,021.94",0.00,0.00,0.00,"1,021.94"
NIOBRARA N. SCENIC RIVER,5,NE,185.88,0.00,844.52,"1,030.40",398.68,"27,659.49","28,058.17","29,088.57"
NOATAK N PRESERVE,11,AK,"6,549,220.04",0.00,0.00,"6,549,220.04","1,197.00","36,654.35","37,851.35","6,587,071.39"
NORTH CASCADES NP,9,WA,"504,654.18",0.00,0.00,"504,654.18",0.00,126.76,126.76,"504,780.94"
NP OF AMERICAN SAMOA,12,SAMOA,0.00,0.00,0.00,0.00,"8,256.67",0.00,"8,256.67","8,256.67"
OBED WILD & SCENIC RVR,2,TN,"3,099.89","1,081.12",0.00,"4,181.01",350.44,958.40,"1,308.84","5,489.85"
OCMULGEE MOUNDS NHP,2,GA,"1,862.81",0.00,0.00,"1,862.81",143.63,"1,424.61","1,568.24","3,431.05"
OLYMPIC NP,9,WA,"913,408.83",64.88,100.00,"913,573.71","8,749.28",326.42,"9,075.70","922,649.41"
OREGON CAVES NM & PRES,9,OR,"4,554.03",0.00,0.00,"4,554.03",0.00,0.00,0.00,"4,554.03"
ORGAN PIPE CACTUS NM,8,AZ,"329,114.50",24.42,226.37,"329,365.29","1,280.00",43.57,"1,323.57","330,688.86"
OZARK NS RIVERWAYS,4,MO,"52,345.83","9,022.59",0.00,"61,368.42","14,062.59","5,353.29","19,415.88","80,784.30"
PADRE ISLAND NS,6,TX,"130,355.46",0.00,0.00,"130,355.46",78.81,0.00,78.81,"130,434.27"
PALO ALTO BTLFLD NHP,6,TX,"1,814.94",0.00,0.00,"1,814.94",0.00,"1,611.93","1,611.93","3,426.87"
PATERSON GREAT FALLS NHP,1,NJ,3.45,0.70,0.00,4.15,46.72,0.46,47.18,51.33
PEA RIDGE NMP,4,AR,"4,278.75",0.00,0.00,"4,278.75",21.60,0.00,21.60,"4,300.35"
PEARL HARBOR NMEM,12,HI,0.00,0.00,21.64,21.64,0.00,0.00,0.00,21.64
PECOS NHP,7,NM,"6,410.44",0.00,0.00,"6,410.44",51.51,231.55,283.06,"6,693.50"
PENNSYLVANIA AVE NHS,1,DC,15.59,0.00,0.84,16.43,1.18,0.00,1.18,17.61
PERRY'S VIC & INT PEACE M,3,OH,23.12,0.02,0.00,23.14,2.24,0.00,2.24,25.38
PETERSBURG NB,1,VA,"2,709.51",0.12,0.00,"2,709.63",0.00,"6,640.55","6,640.55","9,350.18"
PETRIFIED FOREST NP,8,AZ,"147,144.45",0.00,0.00,"147,144.45","35,900.69","38,345.07","74,245.76","221,390.21"
PETROGLYPH NM,7,NM,"2,946.11",0.00,0.00,"2,946.11","4,167.76",95.17,"4,262.93","7,209.04"
PICTURED ROCKS NL,3,MI,"35,706.00",21.30,44.16,"35,771.46","13,939.75","23,524.76","37,464.51","73,235.97"
PINNACLES NP,10,CA,"26,674.60",0.31,0.00,"26,674.91",0.00,10.82,10.82,"26,685.73"
PIPE SPRING NM,8,AZ,40.00,0.00,0.00,40.00,0.00,0.00,0.00,40.00
PIPESTONE NM,3,MN,297.08,0.00,0.00,297.08,0.00,0.00,0.00,297.08
PISCATAWAY PARK,1,MD,"1,909.79","2,670.72",0.00,"4,580.51",0.00,35.80,35.80,"4,616.31"
POINT REYES NS,10,CA,"64,856.50",42.98,334.87,"65,234.35","2,696.98","3,122.05","5,819.03","71,053.38"
PORT CHICAGO NAVAL MAG N MEM,10,CA,0.00,0.00,5.00,5.00,0.00,0.00,0.00,5.00
POTOMAC HERITAGE NST,1,PA TO VA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
POVERTY POINT NM,4,LA,0.00,0.00,0.00,0.00,415.14,495.71,910.85,910.85
PRESIDENT WJ CLINTON BP NHS,4,AR,0.68,0.00,0.00,0.68,0.00,0.00,0.00,0.68
PRINCE WM FOREST PARK,1,VA,"14,569.91",41.89,0.00,"14,611.80",5.52,"1,441.73","1,447.25","16,059.05"
PULLMAN NM,3,IL,0.24,0.16,0.00,0.40,0.00,0.00,0.00,0.40
PU'UHONUA O HONAUNAU,12,HI,418.78,1.02,0.00,419.80,0.00,0.00,0.00,419.80
PUUKOHOLA HEIAU NHS,12,HI,60.95,0.00,0.00,60.95,25.29,0.00,25.29,86.24
RAINBOW BRIDGE NM,7,UT,160.00,0.00,0.00,160.00,0.00,0.00,0.00,160.00
RECONSTRUCTION ERA NHP,2,SC,3.20,1.47,10.86,15.53,0.00,0.00,0.00,15.53
REDWOOD NP,10,CA,"77,715.18",17.24,14.04,"77,746.46","61,101.92",150.99,"61,252.91","138,999.37"
RICHMOND NBP,1,VA,"4,042.49",22.43,1.42,"4,066.34",3.70,"4,073.22","4,076.92","8,143.26"
RIO GRANDE WILD & SR,6,TX,0.00,0.00,0.00,0.00,"4,269.31","8,854.08","13,123.39","13,123.39"
RIVER RAISIN NBP,3,MI,42.18,0.00,0.00,42.18,0.00,0.00,0.00,42.18
ROCK CREEK PARK,1,DC,"1,754.70",0.00,0.00,"1,754.70",0.00,0.00,0.00,"1,754.70"
ROCKY MOUNTAIN NP,7,CO,"264,303.50","1,220.70",0.00,"265,524.20",130.29,193.25,323.54,"265,847.74"
ROGER WILLIAMS NMEM,1,RI,4.56,0.00,0.00,4.56,0.00,0.00,0.00,4.56
ROSIE THE RIVETER  NHP,10,CA,0.00,0.00,0.00,0.00,145.19,0.00,145.19,145.19
ROSS LAKE NRA,9,WA,"115,959.59",0.00,0.00,"115,959.59","1,609.37",5.63,"1,615.00","117,574.59"
RUSSELL CAVE NM,2,AL,310.45,0.00,0.00,310.45,0.00,0.00,0.00,310.45
SAGAMORE HILL NHS,1,NY,83.02,0.00,0.00,83.02,0.00,0.00,0.00,83.02
SAGUARO NP,8,AZ,"88,027.29",13.64,0.00,"88,040.93","3,269.67","1,566.15","4,835.82","92,876.75"
SAINT CROIX NSR,3,MN-WI,"20,525.77","11,006.84",804.44,"32,337.05","30,596.34","4,533.24","35,129.58","67,466.63"
SAINT-GAUDENS NHP,1,NH,190.75,0.00,0.00,190.75,0.00,0.00,0.00,190.75
SALEM MARITIME NHS,1,MA,8.93,0.00,0.00,8.93,0.00,0.09,0.09,9.02
SALINAS PUEBLO MSNS NM,7,NM,979.87,5.26,0.00,985.13,5.68,80.61,86.29,"1,071.42"
SALT RVR BAY NHP,2,VI,224.67,0.00,0.00,224.67,659.49,105.26,764.75,989.42
SAN ANTONIO MISSIONS NHP,6,TX,546.04,70.47,0.00,616.51,236.93,136.84,373.77,990.28
SAN FRAN MARITIME NHP,10,CA,30.03,0.00,0.00,30.03,19.83,0.00,19.83,49.86
SAN JUAN ISLAND NHP,9,WA,"2,114.52",0.00,0.00,"2,114.52",26.54,4.50,31.04,"2,145.56"
SAN JUAN NHS,2,PR,53.20,0.00,0.00,53.20,21.93,0.00,21.93,75.13
SAND CREEK MASSACRE NHS,7,CO,"6,503.34",0.00,0.00,"6,503.34",0.00,"6,080.00","6,080.00","12,583.34"
SANTA MONICA MTS NRA,8,CA,"23,656.56",33.38,"1,472.44","25,162.38","49,755.88","78,202.83","127,958.71","153,121.09"
SARATOGA NHP,1,NY,"3,080.87",20.93,0.00,"3,101.80",59.18,446.61,505.79,"3,607.59"
SAUGUS IRON WORKS NHS,1,MA,8.51,0.00,0.00,8.51,0.00,0.00,0.00,8.51
SCOTTS BLUFF NM,5,NE,"2,953.94",0.27,0.00,"2,954.21",5.95,44.57,50.52,"3,004.73"
SEQUOIA NP,10,CA,"403,893.06",15.36,0.00,"403,908.42",0.00,154.21,154.21,"404,062.63"
SHENANDOAH NP,1,VA,"198,505.99",823.13,0.00,"199,329.12",72.11,"1,044.69","1,116.80","200,445.92"
SHILOH NMP,"2, 4",TN-MS,"5,498.25",1.19,0.00,"5,499.44",954.82,"2,868.02","3,822.84","9,322.28"
SITKA NHP,11,AK,58.22,0.00,0.00,58.22,54.63,3.44,58.07,116.29
SLEEPING BEAR DUNES NL,3,MI,"57,165.80",651.69,1.85,"57,819.34","12,067.29","1,423.28","13,490.57","71,309.91"
SPRINGFIELD ARMORY NHS,1,MA,20.32,0.28,0.00,20.60,34.33,0.00,34.33,54.93
ST CROIX ISLAND IHS,1,ME,6.50,0.00,0.00,6.50,0.00,0.00,0.00,6.50
ST PAUL'S CHURCH NHS,1,NY,6.13,0.00,0.00,6.13,0.00,0.00,0.00,6.13
STATUE OF LIBERTY NM,1,NY-NJ,58.38,0.00,0.00,58.38,0.00,0.00,0.00,58.38
STE. GENEVIEVE NHP,4,MO,12.37,0.68,0.00,13.05,1.58,2.84,4.42,17.47
STEAMTOWN NHS,1,PA,51.29,0.00,0.00,51.29,10.55,0.64,11.19,62.48
STONES RIVER NB,2,TN,656.31,0.00,0.00,656.31,17.14,36.04,53.18,709.49
STONEWALL NM,1,NY,0.12,0.00,0.00,0.12,7.53,0.05,7.58,7.70
SUNSET CRATER VOLC NM,8,AZ,"3,040.00",0.00,0.00,"3,040.00",0.00,0.00,0.00,"3,040.00"
T KOSCIUSZKO NMEM,1,PA,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.02
T ROOSEVELT BIRTHPLACE NHS,1,NY,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.11
T ROOSEVELT INAUG NHS,1,NY,1.18,0.00,0.00,1.18,0.00,0.00,0.00,1.18
T ROOSEVELT ISLAND,1,DC,88.50,0.00,0.00,88.50,0.00,0.00,0.00,88.50
THEODORE ROOSEVELT NP,5,ND,"69,702.12",0.00,0.00,"69,702.12",54.33,690.44,744.77,"70,446.89"
TALLGRASS PRAIRIE NPRE,5,KS,33.12,0.00,0.00,33.12,17.30,"10,832.25","10,849.55","10,882.67"
THOMAS EDISON NHP,1,NJ,21.25,0.00,0.00,21.25,0.00,0.00,0.00,21.25
THOMAS JEFFERSON MEM,1,DC,18.36,0.00,0.00,18.36,0.00,0.00,0.00,18.36
THOMAS STONE NHS,1,MD,328.25,0.00,0.00,328.25,0.00,0.00,0.00,328.25
TIMPANOGOS CAVE NM,7,UT,250.00,0.00,0.00,250.00,0.00,0.00,0.00,250.00
TIMUCUAN ECO & H PRES,2,FL,"15,689.70",0.00,"1,330.00","17,019.70","18,185.37","11,058.00","29,243.37","46,263.07"
TONTO NM,8,AZ,"1,120.00",0.00,0.00,"1,120.00",0.00,0.00,0.00,"1,120.00"
TULE LAKE NM,10,CA,35.02,0.00,0.00,35.02,2.37,0.00,2.37,37.39
TULE SPRINGS FOSSIL BEDS NM,8,NV,"22,650.00",0.00,0.00,"22,650.00",0.00,0.00,0.00,"22,650.00"
TUMACACORI NHP,8,AZ,357.74,0.00,0.00,357.74,0.64,1.94,2.58,360.32
TUPELO NB,4,MS,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
TUSKEGEE AIRMEN NHS,2,AL,44.71,0.00,0.00,44.71,0.40,44.57,44.97,89.68
TUSKEGEE INSTITUTE NHS,2,AL,7.90,1.02,0.00,8.92,0.00,49.00,49.00,57.92
TUZIGOOT NM,8,AZ,366.42,15.11,0.00,381.53,0.00,430.36,430.36,811.89
ULYSSES S GRANT NHS,4,MO,9.60,0.00,0.00,9.60,0.00,0.00,0.00,9.60
UPPER DEL SCENIC & R RVR,1,NY-PA,30.47,0.28,0.00,30.75,"1,327.96","73,640.85","74,968.81","74,999.56"
VALLES CALDERA N PRES,7,NM,"89,805.31",0.00,0.00,"89,805.31",0.00,0.00,0.00,"89,805.31"
VALLEY FORGE NHP,1,PA,"3,146.57",29.13,0.00,"3,175.70",218.03,74.81,292.84,"3,468.54"
VANDERBILT MANSION NHS,1,NY,211.65,0.00,0.00,211.65,0.00,0.00,0.00,211.65
VICKSBURG NMP,4,MS-LA,"2,469.61",-0.95,0.00,"2,468.66",4.84,50.61,55.45,"2,524.11"
VIETNAM VETERANS MEM,1,DC,2.18,0.00,0.00,2.18,0.00,0.00,0.00,2.18
VIRGIN ISLANDS CORAL REEF,2,VI,"11,608.48",0.00,0.00,"11,608.48","1,099.59",0.00,"1,099.59","12,708.07"
VIRGIN ISLANDS NP,2,VI,"13,102.24",3.00,0.00,"13,105.24",241.28,"1,705.81","1,947.09","15,052.33"
VOYAGEURS NP,3,MN,"133,144.22",0.00,140.30,"133,284.52","83,899.74","1,038.09","84,937.83","218,222.35"
WACO MAMMOTH NM,6,TX,4.93,2.18,0.00,7.11,100.12,0.00,100.12,107.23
WALNUT CANYON NM,8,AZ,"2,922.77",0.00,0.00,"2,922.77",0.00,277.84,277.84,"3,200.61"
WAR IN THE PACIFIC NHP,12,GUAM,957.52,0.00,0.73,958.25,871.96,200.09,"1,072.05","2,030.30"
WASHINGTON MONUMENT,1,DC,101.01,0.00,5.00,106.01,0.00,0.00,0.00,106.01
WASHITA BATTLEFIELD NHS,6,OK,315.20,0.00,0.00,315.20,0.00,0.00,0.00,315.20
WEIR FARM NHP,1,CT,68.05,0.00,0.00,68.05,0.00,6.15,6.15,74.20
WHISKEYTOWN-S-T NRA,10,CA 3/,"42,492.09",0.00,0.00,"42,492.09",0.00,11.16,11.16,"42,503.25"
WHITE HOUSE,1,DC,18.07,0.00,0.00,18.07,0.00,0.00,0.00,18.07
WHITE SANDS NP,7,NM,"146,344.31",0.00,0.00,"146,344.31",0.00,0.00,0.00,"146,344.31"
WHITMAN MISSION NHS,9,WA,138.53,0.00,0.00,138.53,0.00,0.00,0.00,138.53
WILLIAM H TAFT NHS,3,OH,1.92,0.00,0.00,1.92,1.07,0.65,1.72,3.64
WILSONS CREEK NB,4,MO,"2,035.49",0.00,0.00,"2,035.49",7.08,379.19,386.27,"2,421.76"
WIND CAVE NP,5,SD,"33,970.84",0.00,0.00,"33,970.84",0.00,0.00,0.00,"33,970.84"
WOLF TRAP NP FOR PERF ARTS,1,VA,117.89,12.39,0.00,130.28,0.00,0.00,0.00,130.28
WOMEN'S RIGHTS NHP,1,NY,7.03,0.00,0.00,7.03,0.19,0.22,0.41,7.44
WORLD WAR I NMEM,1,DC,1.39,0.00,0.00,1.39,0.00,0.00,0.00,1.39
WRANGELL-ST ELIAS N PRES,11,AK,"4,323,874.40",0.00,0.00,"4,323,874.40","39,855.06","488,915.43","528,770.49","4,852,644.89"
WRANGELL-ST. ELIAS NP & PRES,11,AK,"7,956,729.18",0.83,0.00,"7,956,730.01","17,577.06","348,839.41","366,416.47","8,323,146.48"
WRIGHT BROTHERS NMEM,2,NC,421.81,0.00,0.00,421.81,6.63,0.00,6.63,428.44
WUPATKI NM,8,AZ,"35,401.83",0.00,0.00,"35,401.83",0.00,0.00,0.00,"35,401.83"
YELLOWSTONE NP,"5, 7, 9",ID-MT-WY,"2,219,789.13",0.00,0.00,"2,219,789.13",0.00,1.58,1.58,"2,219,790.71"
YOSEMITE NP,10,CA,"759,690.11",10.83,319.11,"760,020.05","1,502.70",224.75,"1,727.45","761,747.50"
YUCCA HOUSE NM,7,CO,33.87,0.00,0.00,33.87,0.00,0.00,0.00,33.87
YUKON-CHARLEY RIVERS N PR,11,AK,"2,195,546.98",0.00,0.00,"2,195,546.98","46,169.03","284,796.43","330,965.46","2,526,512.44"
ZION NP,7,UT,"143,793.41",0.00,0.00,"143,793.41",5.13,"3,444.12","3,449.25","147,242.66"

